"ecopool","pdMoney","TotalPDmoney","TotalCirculation","tick"
922.0,78.0,78.0,1000.0,1.0
922.0,78.0,78.0,1000.0,2.0
922.0,78.0,78.0,1000.0,3.0
922.0,78.0,78.0,1000.0,4.0
922.0,78.0,78.0,1000.0,5.0
922.0,78.0,78.0,1000.0,6.0
922.0,78.0,78.0,1000.0,7.0
922.0,78.0,78.0,1000.0,8.0
922.0,78.0,78.0,1000.0,9.0
922.0,78.0,78.0,1000.0,10.0
922.0,78.0,78.0,1000.0,11.0
922.0,78.0,78.0,1000.0,12.0
922.0,78.0,78.0,1000.0,13.0
922.0,78.0,78.0,1000.0,14.0
922.0,78.0,78.0,1000.0,15.0
922.0,78.0,78.0,1000.0,16.0
922.0,78.0,78.0,1000.0,17.0
922.0,78.0,78.0,1000.0,18.0
922.0,78.0,78.0,1000.0,19.0
922.0,78.0,78.0,1000.0,20.0
922.0,78.0,78.0,1000.0,21.0
922.0,77.1,77.1,999.1,22.0
922.0,77.1,77.1,999.1,23.0
922.0,77.1,77.1,999.1,24.0
922.0,77.1,77.1,999.1,25.0
922.0,75.78999999999999,75.78999999999999,997.79,26.0
922.0,75.78999999999999,75.78999999999999,997.79,27.0
922.0,75.78999999999999,75.78999999999999,997.79,28.0
922.0,75.78999999999999,75.78999999999999,997.79,29.0
922.0,74.89,74.89,996.89,30.0
917.0,79.89,79.89,996.89,31.0
917.0,79.89,79.89,996.89,32.0
917.0,79.89,79.89,996.89,33.0
917.0,78.54,78.53999999999999,995.54,34.0
917.0,78.54,78.53999999999999,995.54,35.0
917.0,78.54,78.53999999999999,995.54,36.0
917.0,78.54,78.53999999999999,995.54,37.0
917.0,77.73,77.73,994.73,38.0
917.0,77.73,77.73,994.73,39.0
917.0,77.73,77.73,994.73,40.0
917.0,77.73,77.73,994.73,41.0
917.0,77.73,77.72999999999999,994.73,42.0
917.0,77.73,77.72999999999999,994.73,43.0
917.0,77.73,77.72999999999999,994.73,44.0
917.0,77.73,77.72999999999999,994.73,45.0
917.0,77.73,77.72999999999999,994.73,46.0
917.0,77.73,77.72999999999999,994.73,47.0
917.0,77.73,77.72999999999999,994.73,48.0
917.0,77.73,77.72999999999999,994.73,49.0
917.0,77.73,77.72999999999999,994.73,50.0
917.0,77.73,77.72999999999999,994.73,51.0
917.0,77.73,77.72999999999999,994.73,52.0
917.0,77.73,77.72999999999999,994.73,53.0
917.0,77.73,77.72999999999999,994.73,54.0
917.0,77.73,77.72999999999999,994.73,55.0
917.0,77.73,77.72999999999999,994.73,56.0
917.0,77.73,77.72999999999999,994.73,57.0
917.0,77.13,77.13,994.13,58.0
917.0,77.13,77.13,994.13,59.0
917.0,77.13,77.13,994.13,60.0
917.0,77.13,77.13,994.13,61.0
917.0,77.13,77.13,994.13,62.0
917.0,77.13,77.13,994.13,63.0
917.0,77.13,77.13,994.13,64.0
917.0,77.13,77.13,994.13,65.0
917.0,77.13,77.12999999999998,994.13,66.0
917.0,77.13,77.12999999999998,994.13,67.0
917.0,77.13,77.12999999999998,994.13,68.0
917.0,77.13,77.12999999999998,994.13,69.0
917.0,77.13,77.13,994.13,70.0
917.0,77.13,77.13,994.13,71.0
917.0,77.13,77.13,994.13,72.0
917.0,77.13,77.13,994.13,73.0
917.0,76.59,76.59,993.59,74.0
917.0,76.59,76.59,993.59,75.0
912.0,81.59,81.59,993.59,76.0
912.0,81.59,81.59,993.59,77.0
912.0,81.59,81.59,993.59,78.0
912.0,81.59,81.59,993.59,79.0
912.0,81.59,81.59,993.59,80.0
912.0,81.59,81.59,993.59,81.0
912.0,81.59,81.58999999999999,993.59,82.0
912.0,81.59,81.58999999999999,993.59,83.0
912.0,81.59,81.58999999999999,993.59,84.0
912.0,81.59,81.58999999999999,993.59,85.0
912.0,81.59,81.58999999999999,993.59,86.0
912.0,81.59,81.58999999999999,993.59,87.0
912.0,81.59,81.58999999999999,993.59,88.0
912.0,81.59,81.58999999999999,993.59,89.0
912.0,81.59,81.59,993.59,90.0
912.0,81.59,81.59,993.59,91.0
912.0,81.59,81.59,993.59,92.0
912.0,81.59,81.59,993.59,93.0
912.0,81.59,81.59,993.59,94.0
912.0,81.59,81.59,993.59,95.0
912.0,81.59,81.59,993.59,96.0
912.0,81.59,81.59,993.59,97.0
912.0,81.59,81.59,993.59,98.0
912.0,81.59,81.59,993.59,99.0
912.0,81.59,81.59,993.59,100.0
912.0,81.59,81.59,993.59,101.0
912.0,81.59,81.59,993.59,102.0
912.0,81.59,81.59,993.59,103.0
912.0,81.59,81.59,993.59,104.0
912.0,81.59,81.59,993.59,105.0
912.0,81.59,81.59,993.59,106.0
912.0,81.59,81.59,993.59,107.0
912.0,81.59,81.59,993.59,108.0
912.0,81.59,81.59,993.59,109.0
912.0,81.59,81.59,993.59,110.0
912.0,81.59,81.59,993.59,111.0
912.0,81.59,81.59,993.59,112.0
912.0,81.59,81.59,993.59,113.0
912.0,79.86099999999999,79.861,991.861,114.0
912.0,79.86099999999999,79.861,991.861,115.0
912.0,79.86099999999999,79.861,991.861,116.0
912.0,79.86099999999999,79.861,991.861,117.0
912.0,78.961,78.96099999999998,990.961,118.0
927.616,79.137,79.13699999999999,1006.7529999999999,119.0
927.616,79.137,79.13699999999999,1006.7529999999999,120.0
919.616,87.13699999999999,87.13699999999999,1006.7529999999999,121.0
919.616,87.13699999999999,87.13699999999999,1006.7529999999999,122.0
919.616,87.13699999999999,87.13699999999999,1006.7529999999999,123.0
919.616,87.13699999999999,87.13699999999999,1006.7529999999999,124.0
919.616,87.13699999999999,87.13699999999999,1006.7529999999999,125.0
919.616,86.327,86.32699999999998,1005.943,126.0
919.616,86.327,86.32699999999998,1005.943,127.0
919.616,86.327,86.32699999999998,1005.943,128.0
919.616,86.327,86.32699999999998,1005.943,129.0
919.616,86.327,86.32699999999998,1005.943,130.0
919.616,86.327,86.32699999999998,1005.943,131.0
919.616,86.327,86.32699999999998,1005.943,132.0
950.339,86.702,86.70200000000001,1037.0410000000002,133.0
950.339,86.702,86.70199999999998,1037.041,134.0
950.339,86.702,86.70199999999998,1037.041,135.0
950.339,86.702,86.70199999999998,1037.041,136.0
950.339,86.702,86.70199999999998,1037.041,137.0
950.339,85.702,85.70199999999998,1036.041,138.0
950.339,85.702,85.70199999999998,1036.041,139.0
950.339,85.702,85.70199999999998,1036.041,140.0
950.339,85.702,85.70199999999998,1036.041,141.0
950.339,85.2046,85.2046,1035.5436,142.0
950.339,85.2046,85.2046,1035.5436,143.0
950.339,85.2046,85.2046,1035.5436,144.0
950.339,85.2046,85.2046,1035.5436,145.0
950.339,85.2046,85.2046,1035.5436,146.0
957.719,85.29459999999999,85.2946,1043.0136,147.0
957.719,85.29459999999999,85.2946,1043.0136,148.0
957.719,85.29459999999999,85.2946,1043.0136,149.0
957.719,85.29459999999999,85.29459999999999,1043.0136,150.0
957.719,85.29459999999999,85.29459999999999,1043.0136,151.0
957.719,85.29459999999999,85.29459999999999,1043.0136,152.0
957.719,85.29459999999999,85.29459999999999,1043.0136,153.0
957.719,84.79459999999999,84.79459999999999,1042.5136,154.0
957.719,84.79459999999999,84.79459999999999,1042.5136,155.0
957.719,84.79459999999999,84.79459999999999,1042.5136,156.0
948.719,93.79459999999999,93.79459999999999,1042.5136,157.0
948.719,93.38009999999998,93.38009999999998,1042.0991000000001,158.0
948.719,93.38009999999998,93.38009999999998,1042.0991000000001,159.0
948.719,93.38009999999998,93.38009999999998,1042.0991000000001,160.0
953.24534,93.42984,93.42983999999998,1046.67518,161.0
953.24534,92.97984,92.97983999999998,1046.2251800000001,162.0
953.24534,92.97984,92.97983999999998,1046.2251800000001,163.0
953.24534,92.97984,92.97983999999998,1046.2251800000001,164.0
953.24534,92.97984,92.97983999999998,1046.2251800000001,165.0
943.24534,102.17983999999998,102.17983999999998,1045.42518,166.0
943.24534,102.17983999999998,102.17983999999998,1045.42518,167.0
943.24534,102.17983999999998,102.17983999999998,1045.42518,168.0
943.24534,102.17983999999998,102.17983999999998,1045.42518,169.0
943.24534,100.90678999999999,100.90678999999999,1044.15213,170.0
943.24534,100.90678999999999,100.90678999999999,1044.15213,171.0
943.24534,100.90678999999999,100.90678999999999,1044.15213,172.0
943.24534,100.90678999999999,100.90678999999999,1044.15213,173.0
943.24534,100.50178999999999,100.50179,1043.74713,174.0
